100 4760
100 4750
100 4750
110 5366
110 5326
110 5344
120 5914
120 5902
120 5928
130 6522
130 6476
130 6534
140 7188
140 7120
140 7168
150 7794
150 7808
150 7856
160 8446
160 8546
160 8432
170 9074
170 9122
170 9118
180 9764
180 9822
180 9788
190 10410
190 10496
190 10420
200 11136
200 11064
200 11098
210 11778
210 11720
210 11742
220 12344
220 12318
220 12404
230 13114
230 13024
230 13076
240 13728
240 13742
240 13702
250 14384
250 14334
250 14378
260 15062
260 15108
260 15026
270 15816
270 15768
270 15858
280 16502
280 16524
280 16524
290 17218
290 17338
290 17348
300 18024
300 17976
300 18016
310 18734
310 18694
310 18748
320 19494
320 19420
320 19504
330 20222
330 20156
330 20186
340 20954
340 20956
340 20964
350 21680
350 21716
350 21632
360 22424
360 22422
360 22370
370 23272
370 23234
370 23208
380 23874
380 23942
380 23840
390 24534
390 24632
390 24640
400 25252
400 25410
400 25330
410 26132
410 26060
410 26142
420 26850
420 26772
420 26760
430 27514
430 27562
430 27584
440 28270
440 28320
440 28290
450 29020
450 28990
450 28952
460 29732
460 29682
460 29712
470 30416
470 30560
470 30460
480 31190
480 31236
480 31102
490 31930
490 32130
490 31920
500 32704
500 32776
500 32638
510 33506
510 33446
510 33410
520 34356
520 34204
520 34330
530 35076
530 34968
530 35074
540 35780
540 35836
540 35886
550 36590
550 36622
550 36760
560 37478
560 37616
560 37390
570 38252
570 38444
570 38282
580 39106
580 39152
580 39350
590 39938
590 39964
590 39890
600 40750
600 40754
600 40788
610 41650
610 41566
610 41432
620 42464
620 42330
620 42408
630 43344
630 43304
630 43226
640 44180
640 43998
640 44148
650 44852
650 44918
650 44786
660 45632
660 45864
660 45770
670 46564
670 46566
670 46468
680 47276
680 47322
680 47322
690 48148
690 48116
690 48130
700 48860
700 48824
700 48822
710 49782
710 49748
710 49700
720 50514
720 50648
720 50578
730 51434
730 51460
730 51396
740 52206
740 52236
740 52264
750 52966
750 53118
750 52988
760 53946
760 53948
760 53934
770 54560
770 54764
770 54656
780 55526
780 55618
780 55312
790 56178
790 56148
790 56170
800 56984
800 57026
800 57012
810 57954
810 57814
810 57840
820 58768
820 58776
820 58744
830 59406
830 59526
830 59524
840 60354
840 60334
840 60188
850 61108
850 61354
850 61108
860 61982
860 62090
860 62042
870 62838
870 62666
870 62666
880 63582
880 63492
880 63702
890 64416
890 64436
890 64402
900 65346
900 65340
900 65176
910 66068
910 66074
910 66038
920 67008
920 66894
920 66934
930 67722
930 67738
930 67752
940 68498
940 68436
940 68562
950 69178
950 69338
950 69336
960 70062
960 69988
960 70174
970 70870
970 70854
970 70926
980 71690
980 71904
980 71834
990 72508
990 72524
990 72530
1000 73314
1000 73344
1000 73478
1010 74152
1010 74262
1010 74204
1020 75224
1020 74902
1020 74852
1030 76016
1030 75812
1030 76018
1040 76744
1040 76896
1040 76824
1050 77656
1050 77556
1050 77804
1060 78704
1060 78480
1060 78580
1070 79518
1070 79602
1070 79584
1080 80252
1080 80556
1080 80338
1090 81250
1090 81454
1090 81512
1100 82178
1100 82310
1100 82108
1110 83020
1110 83062
1110 82968
1120 83926
1120 83836
1120 83912
1130 84748
1130 84854
1130 84766
1140 85738
1140 85752
1140 85914
1150 86598
1150 86742
1150 86730
1160 87640
1160 87586
1160 87416
1170 88410
1170 88526
1170 88442
1180 89402
1180 89236
1180 89320
1190 90216
1190 90032
1190 90298
1200 91192
1200 91334
1200 91018
1210 92018
1210 91926
1210 91972
1220 92994
1220 92746
1220 92982
1230 93708
1230 93686
1230 93790
1240 94626
1240 94770
1240 94636
1250 95644
1250 95608
1250 95464
1260 96408
